Character,Book,Page,Chapter No,Chapter Name,POV,Title,Forename,Surname,OldSurname,Alias,RegnalNo,Gender,AliveStatus
Gared,A Game of Thrones,1,0,Prologue,Will,,Gared,,,,,M,D
Ser Waymar Royce,A Game of Thrones,1,0,Prologue,Will,Ser,Waymar,Royce,,,,M,D
Will,A Game of Thrones,1,0,Prologue,Will,,Will,,,,,M,D
"Brandon Stark, Bran",A Game of Thrones,11,1,Bran I,Bran Stark,,Brandon,Stark,,Bran,,M,A
"King Mance Rayder, King-Beyond-the-Wall",A Game of Thrones,11,1,Bran I,Bran Stark,King,Mance,Rayder,,King-Beyond-the-Wall,,M,A
"Nan, Old Nan",A Game of Thrones,11,1,Bran I,Bran Stark,,Nan,,,Old Nan,,F,A
Robb Stark,A Game of Thrones,11,1,Bran I,Bran Stark,,Robb,Stark,,,,M,D
Jon Snow,A Game of Thrones,11,1,Bran I,Bran Stark,,Jon,Snow,,,,M,U
Lord Eddard Stark,A Game of Thrones,12,1,Bran I,Bran Stark,Lord,Eddard,Stark,,,,M,D
Theon Greyjoy,A Game of Thrones,12,1,Bran I,Bran Stark,,Theon,Greyjoy,,,,M,A
King Robert Baratheon,A Game of Thrones,12,1,Bran I,Bran Stark,King,Robert,Baratheon,,,,M,D
Jory Cassel,A Game of Thrones,14,1,Bran I,Bran Stark,,Jory,Cassel,,,,M,D
Hullen,A Game of Thrones,16,1,Bran I,Bran Stark,,Hullen,,,,,M,D
Harwin,A Game of Thrones,16,1,Bran I,Bran Stark,,Harwin,,,,,M,A
Ser Rodrik Cassel,A Game of Thrones,17,1,Bran I,Bran Stark,Ser,Rodrik,Cassel,,,,M,D
Rickon Stark,A Game of Thrones,17,1,Bran I,Bran Stark,,Rickon,Stark,,,,M,A
Desmond,A Game of Thrones,18,1,Bran I,Bran Stark,,Desmond,,,,,M,D
Lady Catelyn Stark,A Game of Thrones,19,2,Catelyn I,Catelyn Tully,Lady,Catelyn,Stark,Tully,,,F,D
"Brandon Stark, The Builder",A Game of Thrones,20,2,Catelyn I,Catelyn Tully,,Brandon,Stark,,The Builder,,M,D
Arya Stark,A Game of Thrones,20,2,Catelyn I,Catelyn Tully,,Arya,Stark,,,,F,A
Sansa Stark,A Game of Thrones,21,2,Catelyn I,Catelyn Tully,,Sansa,Stark,,,,F,A
Maester Luwin,A Game of Thrones,22,2,Catelyn I,Catelyn Tully,Maester,Luwin,,,,,M,D
Lord Jon Arryn,A Game of Thrones,22,2,Catelyn I,Catelyn Tully,Lord,Jon,Arryn,,,,M,D
"King Aerys II Targaryen, The Mad King",A Game of Thrones,22,2,Catelyn I,Catelyn Tully,King,Aerys,Targaryen,,The Mad King,II,M,D
Lord Hoster Tully,A Game of Thrones,22,2,Catelyn I,Catelyn Tully,Lord,Hoster,Tully,,,,M,D
